"Job_Role","Company","Location","Job Type","Salary","Experience Required","Date","Job Portal","Education Requirement","Skills","Remote/Onsite","Company Size"
"Financial Analyst","HCL","Delhi","Internship","650000.0","0-2 years","2025-01-04","Naukri.com","PhD","Java, SQL, Python","Remote","Large (500+)"
"Financial Analyst","Google","Noida","Part-time","2000000.0","2-5 years","2024-12-24","LinkedIn","B.Tech","Excel, Machine Learning, UI/UX","Hybrid","Small (1-50)"
"Graphic Designer","Wipro","Hyderabad","Full-time","1600000.0","0-2 years","2025-01-18","Naukri.com","B.Sc","Java, SQL, Digital Marketing","Hybrid","Large (500+)"
"Graphic Designer","Deloitte","Jaipur","Part-time","1600000.0","10+ years","2024-12-29","Naukri.com","B.Sc","Machine Learning, Digital Marketing, SQL","Hybrid","Medium (51-500)"
"Software Engineer","IBM","Mumbai","Internship","2000000.0","0-2 years","2024-12-23","LinkedIn","B.Sc","Java, UI/UX, React","Hybrid","Medium (51-500)"
"Financial Analyst","TCS","Ahmedabad","Internship","400000.0","10+ years","2024-12-31","Naukri.com","B.Tech","Python, AWS, UI/UX","Onsite","Large (500+)"
"Software Engineer","Microsoft","Hyderabad","Part-time","2000000.0","10+ years","2025-01-04","Indeed","M.Tech","Machine Learning, SQL, C++","Onsite","Large (500+)"
"Product Manager","IBM","Ahmedabad","Internship","1000000.0","2-5 years","2024-12-30","Indeed","B.Tech","Python, React, UI/UX","Onsite","Small (1-50)"
"Cyber Security Analyst","Infosys","Kolkata","Internship","1000000.0","10+ years","2024-12-29","Naukri.com","PhD","Machine Learning, AWS, React","Onsite","Large (500+)"
"Financial Analyst","HCL","Bangalore","Full-time","400000.0","2-5 years","2025-01-09","LinkedIn","B.Sc","Excel, Digital Marketing, AWS","Remote","Medium (51-500)"
"Business Analyst","Accenture","Kolkata","Contract","1600000.0","10+ years","2025-01-20","Naukri.com","MBA","Digital Marketing, C++, React","Remote","Small (1-50)"
"Graphic Designer","Deloitte","Mumbai","Contract","1000000.0","5-10 years","2024-12-24","Naukri.com","M.Tech","Digital Marketing, SQL, Java","Remote","Medium (51-500)"
"Cyber Security Analyst","Google","Delhi","Internship","2000000.0","5-10 years","2025-01-03","LinkedIn","B.Sc","Java, Excel, Machine Learning","Hybrid","Large (500+)"
"HR Manager","IBM","Pune","Full-time","400000.0","0-2 years","2024-12-26","Naukri.com","B.Sc","React, Excel, AWS","Hybrid","Small (1-50)"
"Marketing Executive","Infosys","Kolkata","Contract","1000000.0","2-5 years","2025-01-14","Naukri.com","B.Tech","Java, UI/UX, React","Hybrid","Large (500+)"
"Financial Analyst","HCL","Bangalore","Full-time","1600000.0","5-10 years","2024-12-26","LinkedIn","M.Tech","C++, Machine Learning, Digital Marketing","Remote","Large (500+)"
"Data Scientist","TCS","Mumbai","Contract","650000.0","5-10 years","2024-12-28","Indeed","PhD","C++, Machine Learning, Excel","Remote","Small (1-50)"
"Product Manager","Amazon","Kolkata","Full-time","1600000.0","5-10 years","2025-01-22","Indeed","B.Sc","AWS, SQL, Excel","Hybrid","Large (500+)"
"Cyber Security Analyst","Wipro","Kolkata","Part-time","2000000.0","10+ years","2024-12-30","Indeed","B.Sc","React, Java, Python","Hybrid","Small (1-50)"
"HR Manager","HCL","Bangalore","Part-time","1600000.0","0-2 years","2025-01-18","Indeed","PhD","C++, Excel, Machine Learning","Hybrid","Medium (51-500)"
"Cyber Security Analyst","IBM","Jaipur","Internship","400000.0","10+ years","2025-01-12","LinkedIn","PhD","SQL, Java, Digital Marketing","Remote","Small (1-50)"
"Sales Representative","Infosys","Noida","Full-time","2000000.0","2-5 years","2024-12-24","Indeed","B.Tech","Machine Learning, C++, SQL","Onsite","Medium (51-500)"
"Financial Analyst","Microsoft","Delhi","Internship","1000000.0","0-2 years","2025-01-14","Indeed","PhD","UI/UX, Machine Learning, SQL","Onsite","Medium (51-500)"
"Cyber Security Analyst","Deloitte","Bangalore","Full-time","650000.0","0-2 years","2025-01-01","Naukri.com","M.Tech","UI/UX, Digital Marketing, C++","Hybrid","Small (1-50)"
"Graphic Designer","Deloitte","Jaipur","Full-time","2000000.0","2-5 years","2025-01-03","Indeed","M.Tech","AWS, Machine Learning, Excel","Hybrid","Medium (51-500)"
"Sales Representative","IBM","Jaipur","Full-time","400000.0","10+ years","2025-01-14","Naukri.com","B.Sc","UI/UX, Excel, Python","Hybrid","Large (500+)"
"Sales Representative","Deloitte","Hyderabad","Full-time","400000.0","0-2 years","2025-01-05","Indeed","B.Sc","Java, SQL, C++","Hybrid","Large (500+)"
"Data Scientist","Infosys","Bangalore","Internship","1000000.0","2-5 years","2025-01-12","Indeed","PhD","Java, UI/UX, Python","Onsite","Large (500+)"
"Product Manager","TCS","Hyderabad","Contract","1600000.0","2-5 years","2025-01-12","Indeed","B.Tech","C++, Python, Machine Learning","Hybrid","Small (1-50)"
"HR Manager","Accenture","Ahmedabad","Contract","1000000.0","2-5 years","2024-12-31","Indeed","B.Sc","SQL, Java, React","Remote","Medium (51-500)"
"Cyber Security Analyst","Accenture","Bangalore","Contract","2000000.0","10+ years","2025-01-09","LinkedIn","M.Tech","C++, AWS, Python","Onsite","Large (500+)"
"Cyber Security Analyst","Wipro","Pune","Internship","400000.0","2-5 years","2024-12-26","Indeed","MBA","Python, Java, Excel","Remote","Medium (51-500)"
"Graphic Designer","Amazon","Mumbai","Part-time","1000000.0","5-10 years","2025-01-15","LinkedIn","PhD","C++, Python, SQL","Remote","Large (500+)"
"Sales Representative","Deloitte","Noida","Part-time","1600000.0","10+ years","2024-12-27","Indeed","B.Tech","Java, Digital Marketing, React","Onsite","Small (1-50)"
"Sales Representative","Accenture","Mumbai","Contract","400000.0","2-5 years","2025-01-20","Naukri.com","MBA","Python, React, Java","Onsite","Medium (51-500)"
"Product Manager","Microsoft","Ahmedabad","Contract","1000000.0","2-5 years","2025-01-22","LinkedIn","B.Sc","Java, Python, C++","Remote","Small (1-50)"
"HR Manager","Wipro","Ahmedabad","Internship","2000000.0","5-10 years","2024-12-27","Naukri.com","M.Tech","Excel, UI/UX, AWS","Hybrid","Small (1-50)"
"Product Manager","IBM","Ahmedabad","Contract","1000000.0","0-2 years","2025-01-10","LinkedIn","B.Sc","Digital Marketing, AWS, Java","Remote","Small (1-50)"
"Business Analyst","Accenture","Noida","Contract","1600000.0","0-2 years","2025-01-09","LinkedIn","M.Tech","AWS, Excel, React","Remote","Small (1-50)"
"Marketing Executive","HCL","Delhi","Contract","400000.0","2-5 years","2025-01-16","LinkedIn","B.Sc","UI/UX, React, Digital Marketing","Onsite","Large (500+)"
"Data Scientist","Infosys","Noida","Part-time","1000000.0","10+ years","2025-01-14","Naukri.com","PhD","AWS, UI/UX, C++","Remote","Small (1-50)"
"Financial Analyst","Wipro","Jaipur","Full-time","2000000.0","5-10 years","2024-12-31","LinkedIn","MBA","C++, UI/UX, Python","Remote","Medium (51-500)"
"Financial Analyst","Infosys","Chennai","Contract","1000000.0","5-10 years","2025-01-07","Naukri.com","B.Tech","Python, AWS, Digital Marketing","Onsite","Large (500+)"
"Sales Representative","Wipro","Delhi","Part-time","1600000.0","10+ years","2025-01-19","Naukri.com","MBA","Digital Marketing, Machine Learning, UI/UX","Hybrid","Large (500+)"
"Product Manager","Accenture","Noida","Contract","1600000.0","0-2 years","2025-01-05","Indeed","MBA","UI/UX, C++, AWS","Remote","Small (1-50)"
"HR Manager","HCL","Ahmedabad","Internship","650000.0","10+ years","2025-01-14","Naukri.com","MBA","Digital Marketing, Python, Java","Hybrid","Small (1-50)"
"Financial Analyst","Infosys","Chennai","Part-time","1000000.0","10+ years","2025-01-11","Indeed","M.Tech","React, Digital Marketing, UI/UX","Onsite","Small (1-50)"
"Product Manager","Wipro","Hyderabad","Full-time","400000.0","5-10 years","2025-01-11","Naukri.com","PhD","AWS, Python, React","Remote","Small (1-50)"
"Data Scientist","TCS","Mumbai","Part-time","2000000.0","0-2 years","2024-12-27","Indeed","B.Tech","AWS, Java, C++","Hybrid","Medium (51-500)"
"Financial Analyst","HCL","Jaipur","Full-time","650000.0","2-5 years","2025-01-17","Naukri.com","B.Sc","Digital Marketing, AWS, Excel","Onsite","Small (1-50)"
"Sales Representative","TCS","Mumbai","Contract","1600000.0","5-10 years","2025-01-19","Naukri.com","B.Tech","C++, AWS, Machine Learning","Onsite","Large (500+)"
"Graphic Designer","TCS","Hyderabad","Contract","650000.0","5-10 years","2025-01-05","LinkedIn","MBA","Java, Excel, Digital Marketing","Onsite","Large (500+)"
"Software Engineer","IBM","Chennai","Full-time","2000000.0","5-10 years","2024-12-27","Indeed","B.Sc","C++, Digital Marketing, UI/UX","Onsite","Large (500+)"
"Graphic Designer","Infosys","Jaipur","Part-time","1000000.0","5-10 years","2025-01-08","Naukri.com","MBA","C++, AWS, Java","Remote","Medium (51-500)"
"Marketing Executive","Google","Noida","Internship","650000.0","10+ years","2025-01-02","Naukri.com","B.Tech","Digital Marketing, Java, UI/UX","Hybrid","Medium (51-500)"
"Software Engineer","HCL","Hyderabad","Full-time","1600000.0","2-5 years","2025-01-12","LinkedIn","MBA","SQL, Excel, C++","Hybrid","Small (1-50)"
"HR Manager","Deloitte","Mumbai","Full-time","650000.0","0-2 years","2025-01-18","LinkedIn","M.Tech","Excel, Machine Learning, C++","Onsite","Large (500+)"
"Cyber Security Analyst","Amazon","Pune","Part-time","1000000.0","0-2 years","2025-01-16","LinkedIn","PhD","AWS, Digital Marketing, UI/UX","Remote","Small (1-50)"
"Software Engineer","TCS","Jaipur","Internship","400000.0","10+ years","2024-12-27","Naukri.com","MBA","Digital Marketing, C++, Machine Learning","Hybrid","Small (1-50)"
"Marketing Executive","TCS","Kolkata","Full-time","2000000.0","2-5 years","2024-12-25","Naukri.com","MBA","Machine Learning, React, Python","Hybrid","Medium (51-500)"
"Financial Analyst","Amazon","Bangalore","Internship","2000000.0","0-2 years","2025-01-20","Indeed","PhD","AWS, UI/UX, Python","Remote","Small (1-50)"
"Financial Analyst","HCL","Kolkata","Internship","650000.0","2-5 years","2024-12-24","Naukri.com","B.Tech","Java, Excel, React","Hybrid","Large (500+)"
"Cyber Security Analyst","Amazon","Jaipur","Internship","400000.0","5-10 years","2024-12-30","LinkedIn","B.Sc","Machine Learning, UI/UX, SQL","Onsite","Large (500+)"
"Product Manager","HCL","Jaipur","Full-time","1600000.0","0-2 years","2025-01-02","Naukri.com","M.Tech","Machine Learning, Python, C++","Remote","Medium (51-500)"
"Marketing Executive","Infosys","Pune","Internship","1600000.0","0-2 years","2025-01-02","Indeed","B.Sc","SQL, Digital Marketing, Python","Remote","Medium (51-500)"
"Financial Analyst","Wipro","Delhi","Full-time","1600000.0","0-2 years","2024-12-25","LinkedIn","B.Tech","Machine Learning, C++, Digital Marketing","Hybrid","Medium (51-500)"
"Sales Representative","Wipro","Jaipur","Part-time","400000.0","0-2 years","2024-12-28","Naukri.com","B.Tech","Digital Marketing, React, SQL","Onsite","Medium (51-500)"
"Graphic Designer","Amazon","Noida","Full-time","1600000.0","0-2 years","2024-12-28","Indeed","B.Tech","Java, Python, Excel","Remote","Large (500+)"
"Cyber Security Analyst","Accenture","Noida","Contract","2000000.0","10+ years","2025-01-16","LinkedIn","M.Tech","C++, Machine Learning, Python","Onsite","Large (500+)"
"Cyber Security Analyst","IBM","Noida","Full-time","400000.0","5-10 years","2025-01-03","Indeed","MBA","Java, SQL, React","Hybrid","Medium (51-500)"
"Product Manager","Microsoft","Bangalore","Contract","400000.0","10+ years","2024-12-27","Indeed","PhD","React, AWS, Machine Learning","Onsite","Large (500+)"
"Financial Analyst","Google","Bangalore","Contract","1000000.0","2-5 years","2025-01-15","Naukri.com","B.Tech","Machine Learning, Digital Marketing, Python","Hybrid","Large (500+)"
"Graphic Designer","Amazon","Pune","Full-time","2000000.0","10+ years","2025-01-18","LinkedIn","M.Tech","Excel, Java, Machine Learning","Onsite","Medium (51-500)"
"Data Scientist","Wipro","Jaipur","Part-time","400000.0","5-10 years","2025-01-22","Naukri.com","B.Tech","AWS, C++, Machine Learning","Remote","Medium (51-500)"
"HR Manager","Amazon","Jaipur","Full-time","650000.0","5-10 years","2024-12-24","Naukri.com","B.Tech","SQL, React, Python","Onsite","Small (1-50)"
"Sales Representative","TCS","Noida","Part-time","400000.0","5-10 years","2024-12-26","LinkedIn","PhD","C++, Python, Excel","Hybrid","Large (500+)"
"Business Analyst","Google","Hyderabad","Internship","400000.0","2-5 years","2024-12-31","Naukri.com","B.Sc","Python, Machine Learning, Java","Hybrid","Small (1-50)"
"Financial Analyst","Amazon","Chennai","Part-time","1000000.0","0-2 years","2025-01-07","Naukri.com","M.Tech","Machine Learning, SQL, Java","Onsite","Medium (51-500)"
"Software Engineer","HCL","Kolkata","Contract","1600000.0","2-5 years","2025-01-22","Naukri.com","PhD","Machine Learning, C++, SQL","Onsite","Medium (51-500)"
"HR Manager","Accenture","Jaipur","Internship","1600000.0","5-10 years","2025-01-22","Indeed","MBA","React, Digital Marketing, Java","Remote","Small (1-50)"
"HR Manager","Deloitte","Delhi","Contract","2000000.0","10+ years","2025-01-22","LinkedIn","B.Sc","Excel, Python, React","Onsite","Small (1-50)"
"Cyber Security Analyst","TCS","Kolkata","Full-time","2000000.0","5-10 years","2025-01-02","Indeed","B.Sc","UI/UX, Python, Excel","Remote","Medium (51-500)"
"Product Manager","Google","Bangalore","Internship","650000.0","0-2 years","2025-01-08","LinkedIn","MBA","Java, React, UI/UX","Onsite","Large (500+)"
"Product Manager","Deloitte","Mumbai","Full-time","400000.0","2-5 years","2025-01-13","LinkedIn","PhD","Machine Learning, Excel, UI/UX","Remote","Large (500+)"
"Data Scientist","Accenture","Noida","Contract","1000000.0","0-2 years","2024-12-31","Naukri.com","M.Tech","Python, AWS, Machine Learning","Hybrid","Large (500+)"
"Graphic Designer","Amazon","Ahmedabad","Contract","400000.0","0-2 years","2025-01-18","LinkedIn","B.Sc","Java, Machine Learning, Excel","Remote","Medium (51-500)"
"Marketing Executive","Deloitte","Jaipur","Contract","1000000.0","10+ years","2024-12-27","Indeed","M.Tech","Python, UI/UX, Machine Learning","Onsite","Medium (51-500)"
"Business Analyst","Wipro","Chennai","Part-time","400000.0","0-2 years","2025-01-13","LinkedIn","B.Tech","Digital Marketing, AWS, C++","Remote","Large (500+)"
"Data Scientist","IBM","Ahmedabad","Full-time","400000.0","2-5 years","2025-01-09","LinkedIn","B.Sc","C++, Python, SQL","Remote","Medium (51-500)"
"Data Scientist","HCL","Pune","Part-time","400000.0","0-2 years","2025-01-15","Naukri.com","M.Tech","UI/UX, React, Excel","Remote","Small (1-50)"
"Data Scientist","Amazon","Hyderabad","Contract","400000.0","2-5 years","2025-01-16","Naukri.com","B.Tech","Digital Marketing, React, Excel","Remote","Large (500+)"
"Software Engineer","Amazon","Ahmedabad","Part-time","1000000.0","5-10 years","2025-01-20","Naukri.com","M.Tech","AWS, SQL, UI/UX","Remote","Large (500+)"
"Marketing Executive","Amazon","Noida","Part-time","1000000.0","5-10 years","2025-01-02","LinkedIn","PhD","AWS, React, C++","Onsite","Large (500+)"
"Business Analyst","Infosys","Pune","Internship","1600000.0","0-2 years","2024-12-29","LinkedIn","PhD","AWS, Digital Marketing, Python","Hybrid","Medium (51-500)"
"Marketing Executive","Deloitte","Hyderabad","Contract","650000.0","0-2 years","2025-01-14","Indeed","B.Tech","Excel, AWS, Java","Remote","Large (500+)"
"Product Manager","Accenture","Chennai","Full-time","1600000.0","5-10 years","2025-01-04","Indeed","PhD","Machine Learning, C++, Excel","Remote","Medium (51-500)"
"Cyber Security Analyst","HCL","Bangalore","Contract","1000000.0","10+ years","2025-01-16","LinkedIn","MBA","Excel, Machine Learning, Digital Marketing","Onsite","Small (1-50)"
"Software Engineer","HCL","Ahmedabad","Part-time","2000000.0","0-2 years","2025-01-02","Indeed","B.Sc","Java, AWS, Machine Learning","Hybrid","Large (500+)"
"Marketing Executive","Amazon","Jaipur","Part-time","1000000.0","10+ years","2025-01-21","Indeed","MBA","Machine Learning, Digital Marketing, C++","Onsite","Medium (51-500)"
"Data Scientist","IBM","Bangalore","Part-time","650000.0","5-10 years","2025-01-15","Naukri.com","MBA","AWS, C++, Machine Learning","Remote","Large (500+)"
"Data Scientist","Infosys","Noida","Internship","650000.0","5-10 years","2025-01-09","Indeed","PhD","AWS, Excel, React","Hybrid","Small (1-50)"
"Marketing Executive","Accenture","Ahmedabad","Full-time","1000000.0","2-5 years","2025-01-12","Naukri.com","MBA","Machine Learning, Excel, Java","Remote","Large (500+)"
"Graphic Designer","IBM","Pune","Contract","1000000.0","0-2 years","2025-01-17","Indeed","MBA","Java, Excel, Machine Learning","Hybrid","Small (1-50)"
"Data Scientist","Infosys","Chennai","Internship","400000.0","0-2 years","2025-01-10","LinkedIn","B.Tech","UI/UX, Java, Machine Learning","Remote","Large (500+)"
"Data Scientist","Deloitte","Delhi","Internship","1600000.0","2-5 years","2024-12-29","Naukri.com","MBA","C++, Python, AWS","Hybrid","Medium (51-500)"
"Marketing Executive","TCS","Jaipur","Part-time","400000.0","5-10 years","2025-01-22","Indeed","PhD","UI/UX, AWS, Java","Hybrid","Large (500+)"
"Business Analyst","TCS","Hyderabad","Full-time","650000.0","5-10 years","2024-12-29","Naukri.com","B.Tech","UI/UX, React, Python","Remote","Large (500+)"
"Sales Representative","Deloitte","Ahmedabad","Internship","650000.0","5-10 years","2024-12-23","Indeed","M.Tech","Machine Learning, AWS, Java","Remote","Small (1-50)"
"Software Engineer","Google","Delhi","Part-time","400000.0","5-10 years","2024-12-23","LinkedIn","B.Sc","Java, Excel, AWS","Remote","Large (500+)"
"Marketing Executive","TCS","Ahmedabad","Part-time","650000.0","10+ years","2025-01-08","Naukri.com","M.Tech","C++, Excel, Digital Marketing","Onsite","Medium (51-500)"
"Sales Representative","Wipro","Noida","Internship","2000000.0","5-10 years","2025-01-08","LinkedIn","PhD","Digital Marketing, C++, Java","Onsite","Medium (51-500)"
"Software Engineer","Infosys","Hyderabad","Contract","2000000.0","0-2 years","2025-01-04","Naukri.com","B.Sc","Excel, Digital Marketing, UI/UX","Onsite","Small (1-50)"
"HR Manager","IBM","Kolkata","Part-time","1000000.0","0-2 years","2025-01-20","Naukri.com","B.Tech","SQL, Python, Excel","Remote","Medium (51-500)"
"Data Scientist","Amazon","Bangalore","Part-time","2000000.0","10+ years","2025-01-09","Indeed","MBA","SQL, C++, React","Hybrid","Medium (51-500)"
"Product Manager","Infosys","Ahmedabad","Full-time","400000.0","10+ years","2025-01-06","LinkedIn","B.Tech","Machine Learning, Python, Excel","Remote","Small (1-50)"
"Product Manager","IBM","Noida","Full-time","1600000.0","0-2 years","2025-01-07","LinkedIn","B.Sc","C++, Machine Learning, Excel","Remote","Medium (51-500)"
"Cyber Security Analyst","Amazon","Jaipur","Full-time","1000000.0","10+ years","2025-01-18","Indeed","PhD","UI/UX, React, Python","Remote","Medium (51-500)"
"Business Analyst","Deloitte","Chennai","Internship","1600000.0","2-5 years","2025-01-08","Naukri.com","B.Tech","Python, Digital Marketing, C++","Hybrid","Medium (51-500)"
"Data Scientist","TCS","Kolkata","Contract","400000.0","2-5 years","2024-12-27","LinkedIn","B.Tech","UI/UX, Java, C++","Remote","Medium (51-500)"
"Data Scientist","Microsoft","Pune","Internship","1600000.0","5-10 years","2025-01-03","Naukri.com","M.Tech","SQL, Java, React","Onsite","Medium (51-500)"
"Business Analyst","HCL","Chennai","Internship","650000.0","2-5 years","2024-12-29","Naukri.com","MBA","Machine Learning, SQL, Digital Marketing","Hybrid","Medium (51-500)"
"Cyber Security Analyst","HCL","Jaipur","Internship","400000.0","10+ years","2025-01-01","LinkedIn","MBA","Python, Machine Learning, C++","Onsite","Medium (51-500)"
"Software Engineer","Deloitte","Delhi","Contract","650000.0","2-5 years","2024-12-25","Indeed","B.Tech","Machine Learning, AWS, React","Remote","Large (500+)"
"Marketing Executive","Wipro","Noida","Contract","1000000.0","10+ years","2024-12-30","Indeed","B.Sc","UI/UX, Excel, C++","Hybrid","Small (1-50)"
"Business Analyst","Infosys","Kolkata","Full-time","650000.0","2-5 years","2025-01-10","Indeed","B.Sc","React, AWS, UI/UX","Hybrid","Medium (51-500)"
"HR Manager","Infosys","Delhi","Internship","650000.0","2-5 years","2025-01-16","LinkedIn","M.Tech","Digital Marketing, C++, Python","Hybrid","Medium (51-500)"
"Financial Analyst","HCL","Ahmedabad","Contract","400000.0","10+ years","2025-01-11","Indeed","MBA","SQL, React, Machine Learning","Onsite","Medium (51-500)"
"Financial Analyst","Infosys","Delhi","Contract","650000.0","0-2 years","2024-12-29","Indeed","PhD","Excel, Digital Marketing, React","Remote","Large (500+)"
"Graphic Designer","Google","Ahmedabad","Part-time","400000.0","0-2 years","2025-01-18","Indeed","MBA","SQL, Machine Learning, Java","Onsite","Small (1-50)"
"HR Manager","Microsoft","Kolkata","Contract","650000.0","10+ years","2024-12-31","LinkedIn","MBA","Excel, SQL, C++","Remote","Large (500+)"
"Product Manager","TCS","Delhi","Full-time","2000000.0","10+ years","2025-01-08","Indeed","B.Sc","SQL, C++, Python","Remote","Small (1-50)"
"Cyber Security Analyst","IBM","Pune","Contract","650000.0","2-5 years","2024-12-26","LinkedIn","B.Sc","Excel, AWS, C++","Onsite","Medium (51-500)"
"Data Scientist","Infosys","Jaipur","Internship","2000000.0","2-5 years","2024-12-26","Indeed","PhD","C++, Python, Java","Hybrid","Small (1-50)"
"Marketing Executive","TCS","Bangalore","Internship","1600000.0","5-10 years","2025-01-10","LinkedIn","PhD","React, Machine Learning, SQL","Hybrid","Medium (51-500)"
