Job Title,Company,Location,Experience,Salary,Job Description,Skills,Job_Role
Data Scientist - FP&A,Paypal,Mumbai,6-8 Yrs,3875000,Role & responsibilities Analyse marketing campaign performance and provide actionable ...,"Cloud computing, Automation, data science, Analytical, Risk assessment, Financial planning, Machine learning, Operations",Data Scientist
Data Scientist,Harman Connected Services Corporation India Pvt.,Mumbai,6-8 Yrs,3875000,Role & responsibilities Analyse marketing campaign performance and provide actionable ...,"Analytical skills, data science, Artificial Intelligence, Machine learning, Agile, Natural language processing, high performance computing, consumer goods",Data Scientist
Data Scientist - Hyderabad/Bangalore - F2F - 22nd March,People Staffing Solution,Mumbai,6-8 Yrs,3875000,Role & responsibilities Analyse marketing campaign performance and provide actionable ...,"Data Science, Statistical Modeling, Machine Learning, SQL, Python, Predictive Modeling, Power Bi, Modeling",Data Scientist
Data Scientist(AIML),Aspire Systems,Mumbai,6-8 Yrs,3875000,Role & responsibilities Analyse marketing campaign performance and provide actionable ...,"data mining, Java, C++, GraphDB, C, natural language processing, Couchbase, Cassandra",Data Scientist
Data Scientist,null,Mumbai,6-8 Yrs,3875000,Role & responsibilities Analyse marketing campaign performance and provide actionable ...,"Model Development, Predictive Modeling, Logistic Regression, Decision Tree, Linear Regression, Statistical Modeling, Collections, Machine Learning",Data Scientist
Data Scientist,Tech Mahindra,Mumbai,6-8 Yrs,3875000,Role & responsibilities Analyse marketing campaign performance and provide actionable ...,"Mongo, Lambda Architecture, Storm, performance tuning, PySpark, Hadoop CLI, Hadoop, Kafka",Data Scientist
Data Scientist with Gen AI,Zensar,Mumbai,6-8 Yrs,3875000,Role & responsibilities Analyse marketing campaign performance and provide actionable ...,"Training, Data analysis, Usage, Machine learning, Management, AWS, Python, Gen",Data Scientist
Data Scientist,Merkle Science,Mumbai,6-8 Yrs,3875000,Role & responsibilities Analyse marketing campaign performance and provide actionable ...,"Cloud computing, Version control, Machine learning, Cloud, Data processing, Natural language processing, Project delivery, Forecasting",Data Scientist
Data Scientist,Global Fpo,Mumbai,6-8 Yrs,3875000,Role & responsibilities Analyse marketing campaign performance and provide actionable ...,"AI Developer, NLP, Artificial Intelligence, DL, LLM, OCR, Ml, Development",Data Scientist
Data Scientist/AI&ML - Technical Lead,Prodapt Solutions,Mumbai,6-8 Yrs,3875000,Role & responsibilities Analyse marketing campaign performance and provide actionable ...,"Python, data preprocessing, Azure, PyTorch, scikit-learn, feature engineering, data visualization, AWS",Data Scientist
Data Scientist,Colgate-Palmolive (India),Mumbai,5-8 Yrs,null,"Experience with third-party data i.e., syndicated market data, Point of Sales, etcExper...","Logistic regression, Neural networks, Business analytics, Analytical, Machine learning, Predictive modeling, Continuous improvement, Forecasting",Data Scientist
"Distinguished, Data scientist",Walmart,Mumbai,5-8 Yrs,null,"Experience with third-party data i.e., syndicated market data, Point of Sales, etcExper...","System architecture, Networking, data science, spark, Machine learning, enterprise business, Data processing, data visualization",Data Scientist
Data Scientist,Cotiviti,Mumbai,5-8 Yrs,null,"Experience with third-party data i.e., syndicated market data, Point of Sales, etcExper...","Data Science, Machine Learning, Modeling, Predictive Modeling, python, Advanced Analytics, Pandas, Statistical Modeling",Data Scientist
Data Scientist - 3,Satsure Analytics,Mumbai,5-8 Yrs,null,"Experience with third-party data i.e., syndicated market data, Point of Sales, etcExper...","Aviation, Machine learning, Agile, Resource management, Forecasting, IEEE, Monitoring, Remote sensing",Data Scientist
Data Scientist - AI/ML,Cotiviti,Mumbai,5-8 Yrs,null,"Experience with third-party data i.e., syndicated market data, Point of Sales, etcExper...","Machine Learning, Tensorflow, R, Ai Algorithms, Logistic Regression, Statistical Modeling, Data mining, Ml Algorithms",Data Scientist
Senior Data Scientist - Artificial Intelligence/Machine Learning,Zettamine Labs,Mumbai,5-8 Yrs,null,"Experience with third-party data i.e., syndicated market data, Point of Sales, etcExper...","Data Science, Tensorflow, Prompt Engineering, Data Scientist, Artificial Intelligence, LLM, Machine Learning, Deep Learning",Data Scientist
Data Scientist,Spring Financial,Mumbai,5-8 Yrs,null,"Experience with third-party data i.e., syndicated market data, Point of Sales, etcExper...","Computer science, customer segmentation, Data analysis, Project management, Underwriting, risk modeling, Business intelligence, Digital marketing",Data Scientist
Data Scientist,Q3 technologies,Mumbai,5-8 Yrs,null,"Experience with third-party data i.e., syndicated market data, Point of Sales, etcExper...","Data Science, GEN AI, Tensorflow, Artificial Intelligence, Pandas, Machine Learning, Numpy, Python",Data Scientist
Data Scientist/Analyst,Turing,Mumbai,5-8 Yrs,null,"Experience with third-party data i.e., syndicated market data, Point of Sales, etcExper...","data analytics, data analysis, analytical, data science, writing, jupyter notebook, communication skills, Notebook",Data Analyst
Data Scientist/Analyst,Turing,Mumbai,5-8 Yrs,null,"Experience with third-party data i.e., syndicated market data, Point of Sales, etcExper...","data analytics, data analysis, analytical, data science, writing, jupyter notebook, communication skills, Notebook",Data Analyst
Data Scientist/Analyst,Turing,Mumbai,5-8 Yrs,null,"Experience with third-party data i.e., syndicated market data, Point of Sales, etcExper...","data analytics, data analysis, analytical, data science, writing, jupyter notebook, communication skills, Notebook",Data Analyst
Data Scientist/Analyst,Turing,Mumbai,5-8 Yrs,null,"Experience with third-party data i.e., syndicated market data, Point of Sales, etcExper...","data analytics, data analysis, analytical, data science, writing, jupyter notebook, communication skills, Data",Data Analyst
Data Scientist/Analyst,Turing,Mumbai,5-8 Yrs,null,"Experience with third-party data i.e., syndicated market data, Point of Sales, etcExper...","data analytics, data analysis, analytical, data science, writing, jupyter notebook, communication skills, Science",Data Analyst
Data Scientist/Analyst,Turing,Mumbai,5-8 Yrs,null,"Experience with third-party data i.e., syndicated market data, Point of Sales, etcExper...","Data Scientist/Analyst, Analysis, Data, Data analysis",Data Analyst
Data Scientist/Analyst,Turing,Mumbai,5-8 Yrs,null,"Experience with third-party data i.e., syndicated market data, Point of Sales, etcExper...","data analytics, data analysis, analytical, data science, writing, jupyter notebook, communication skills, Data",Data Analyst
Data Scientist/Analyst,Turing,Mumbai,5-8 Yrs,null,"Experience with third-party data i.e., syndicated market data, Point of Sales, etcExper...","data analytics, data analysis, analytical, data science, writing, jupyter notebook, communication skills, Data",Data Analyst
Data Scientist/Analyst,Turing,Mumbai,5-8 Yrs,null,"Experience with third-party data i.e., syndicated market data, Point of Sales, etcExper...","data analytics, data analysis, data science, writing, jupyter notebook, artificial intelligence, communication skills, Notebook",Data Analyst
Data Scientist/Analyst,Turing,Mumbai,5-8 Yrs,null,"Experience with third-party data i.e., syndicated market data, Point of Sales, etcExper...","data analytics, data analysis, data science, writing, jupyter notebook, artificial intelligence, communication skills, Intelligence",Data Analyst
Data Scientist/Analyst,Turing,Mumbai,5-8 Yrs,null,"Experience with third-party data i.e., syndicated market data, Point of Sales, etcExper...","data analytics, data analysis, data science, writing, jupyter notebook, artificial intelligence, communication skills, Data",Data Analyst
Data Scientist/Analyst,Turing,Mumbai,5-8 Yrs,null,"Experience with third-party data i.e., syndicated market data, Point of Sales, etcExper...","data analytics, data analysis, data science, writing, jupyter notebook, artificial intelligence, communication skills, Notebook",Data Analyst
Data Scientist - Phd only,Anurag Electronic Gujarat,Mumbai,0-2 Yrs,1350000,"Bachelor Accommodation providedCandidate should be a self-motivated, independent, detai...","Natural Language Processing, Phd, Deep Learning, Data Science, Processing, Languages, Process, Data",Data Scientist
Data Scientist,Turing,Mumbai,0-2 Yrs,1350000,"Bachelor Accommodation providedCandidate should be a self-motivated, independent, detai...","Computer science, Analytical skills, Data analysis, data science, Networking, Manager Technology, Python, Analytical Skill",Data Scientist
Data Scientist I A - GBS IND,Bank Of America,Mumbai,0-2 Yrs,1350000,"Bachelor Accommodation providedCandidate should be a self-motivated, independent, detai...","Data analysis, Software design, GIT, Consulting, Workflow, Oracle, Risk management, JIRA",Data Scientist
Data Scientist,Casepoint,Mumbai,0-2 Yrs,1350000,"Bachelor Accommodation providedCandidate should be a self-motivated, independent, detai...","Statistical analysis, Machine learning, Cloud, Data collection, data integrity, Data mining, Monitoring, Analytics",Data Scientist
Digital Data Engineer (Scientist),Faurecia,Mumbai,0-2 Yrs,1350000,"Bachelor Accommodation providedCandidate should be a self-motivated, independent, detai...","Training, Career development, Manager Technology, Agile, Electronics, Automotive, Management, Technology",Data Engineer
Data Scientist,Schneider Electric,Mumbai,0-2 Yrs,1350000,"Bachelor Accommodation providedCandidate should be a self-motivated, independent, detai...","Computer science, Data management, Analytical, Machine learning, Agile, Information retrieval, Open source, Analytics",Data Scientist
Data Scientist,Quiksync Technologies Llp,Mumbai,0-2 Yrs,1350000,"Bachelor Accommodation providedCandidate should be a self-motivated, independent, detai...","Data Science, Natural Language Processing, Machine Learning, Deep Learning, Python, Tensorflow, Pytorch, Data Wrangling",Data Scientist
Data Scientist,Kfin Technologies,Mumbai,0-2 Yrs,1350000,"Bachelor Accommodation providedCandidate should be a self-motivated, independent, detai...","Ai Algorithms, Data Scientist, Ml Algorithms, Pyspark, AWS, sql, Ml, Data",Data Scientist
Data Scientist / GenAI Specialist / AI Engineer,Apnatime Tech,Mumbai,0-2 Yrs,1350000,"Bachelor Accommodation providedCandidate should be a self-motivated, independent, detai...","Generative AI, GenAI solution development, LLM, Data Science, Azure, Transformer, LLMOps, LLM fine-tuning",Data Scientist
Data Scientist,Arcolab,Mumbai,0-2 Yrs,1350000,"Bachelor Accommodation providedCandidate should be a self-motivated, independent, detai...","Data Scientist, MLOPS, Statistical Algorithms, Python, Statistical Analyses, Statistics, Algorithms, Data",Data Scientist
Data Scientist,Xoom,Mumbai,0-2 Yrs,1350000,"Bachelor Accommodation providedCandidate should be a self-motivated, independent, detai...","Computer science, Statistical programming, Data analysis, Payment processing, Analytical, Continuous improvement, Business solutions, Teradata",Data Scientist
Data Scientist,HARMAN,Mumbai,0-2 Yrs,1350000,"Bachelor Accommodation providedCandidate should be a self-motivated, independent, detai...","thermal mechanical engineering, HVAC, air conditioning, Clasical machine learning, Python, Sensor, predictive anatics, ML",Data Scientist
Data Scientist,Metlife,Mumbai,0-2 Yrs,1350000,"Bachelor Accommodation providedCandidate should be a self-motivated, independent, detai...","Artificial Intelligence, Machine Learning, data science, Tensorflow, python, Decision Tree, Logistic Regression, Ai Solutions",Data Scientist
Data Scientist,Sun Life Global Solutions,Mumbai,0-2 Yrs,1350000,"Bachelor Accommodation providedCandidate should be a self-motivated, independent, detai...","Data Science, Deep Learning Frameworks, Data Scientist, Aws Sagemaker, Machine Learning Algorithms, Machine Learning, Deep Learning, Python",Data Scientist
"Gen AI Data Scientist - GGN,HYD,BLR",Genpact,Mumbai,0-2 Yrs,1350000,"Bachelor Accommodation providedCandidate should be a self-motivated, independent, detai...","python, Machine Learning, Gen AI Data Scientist, azure, Predictive Modeling, Generative AI, Logistic Regression, Natural Language Processing",Data Scientist
Sr. Data Scientist/ Sr. Machine Learning Engineer,Go Digital Technology Consulting,Mumbai,0-2 Yrs,1350000,"Bachelor Accommodation providedCandidate should be a self-motivated, independent, detai...","Computer vision, Backend, GCP, Neural networks, Analytical, Machine learning, Data collection, Continuous improvement",Data Scientist
Data Scientist,Viaprom Technologies,Mumbai,0-2 Yrs,1350000,"Bachelor Accommodation providedCandidate should be a self-motivated, independent, detai...","Python, Time Series Analysis, MMM, Marketing Analytics, Regression Modeling, Machine Learning, Market Mix Modeling, Analysis",Data Scientist
Data Scientist,Orange Business Services,Mumbai,0-2 Yrs,1350000,"Bachelor Accommodation providedCandidate should be a self-motivated, independent, detai...","Automation, Front end, Machine learning, Javascript, Data processing, HTML, Application development, Customer support",Data Scientist
Data Scientist,IT,Mumbai,0-2 Yrs,1350000,"Bachelor Accommodation providedCandidate should be a self-motivated, independent, detai...","Data science, Java, Azure, Power BI, Scala, Tableau, Apache NiFi, SQL",Data Scientist
Data Scientist,Infotech Consulting Global,Mumbai,0-2 Yrs,1350000,"Bachelor Accommodation providedCandidate should be a self-motivated, independent, detai...","Pytorch, tensorflow, Python Development, Scikit-Learn, spark, Apache, Deep Learning, azure",Data Scientist
Data Scientist,Valenta Bpo Solutions,Remote,3-5 Yrs,900000,"Technical Competency: -Play a key role to solve complex problems, pivotal to Valentas ...","Data Science, Modelling Techniques, Artificial Intelligence, Tableau, Machine Learning, Statistics, SQL, PowerBI",Data Scientist
Data Scientist,Grid Dynamics,Remote,3-5 Yrs,900000,"Technical Competency: -Play a key role to solve complex problems, pivotal to Valentas ...","Data Scientist, R, Python, Data",Data Scientist
Data Scientist - GEN AI,Neal Analytics,Remote,3-5 Yrs,900000,"Technical Competency: -Play a key role to solve complex problems, pivotal to Valentas ...","data science, Manager Technology, Agile, Director, Individual Contributor, Direct, Data, Management",Data Scientist
Data Scientist - MNC - Bangalore/Mumbai,People staffing solutions,Remote,3-5 Yrs,900000,"Technical Competency: -Play a key role to solve complex problems, pivotal to Valentas ...","Data Science, Statistical Modeling, Machine Learning, SQL, Python, Predictive Modeling, Power Bi, Modeling",Data Scientist
"Vice President, Data Scientist I",BNY,Remote,3-5 Yrs,900000,"Technical Competency: -Play a key role to solve complex problems, pivotal to Valentas ...","data science, Bloomberg, Coding, Machine learning, Vice President, Analytics, Financial services, SQL",Data Scientist
Data Analyst / Data Scientist,The Dhan Academy,Remote,3-5 Yrs,900000,"Technical Competency: -Play a key role to solve complex problems, pivotal to Valentas ...","Computer science, Market analysis, Logistic regression, Data analysis, Operational excellence, SAS, Debugging, Data mining",Data Analyst
Data Scientist,Gsquare Solutions,Remote,3-5 Yrs,900000,"Technical Competency: -Play a key role to solve complex problems, pivotal to Valentas ...","Machine Learning, Python, Predictive Modeling, R, Modeling, Data, Predictive, Machine",Data Scientist
Data Scientist-Time Series-W-E,KG Invicta Services (kgis),Remote,3-5 Yrs,900000,"Technical Competency: -Play a key role to solve complex problems, pivotal to Valentas ...","Statistical analysis, Machine learning, linear regression, Forecasting, Python, Statistics, Data, Analysis",Data Scientist
"Data Scientist (Cloud Management, SQL)",UPS Supply Chain Solutions (UPS SCS),Remote,3-5 Yrs,900000,"Technical Competency: -Play a key role to solve complex problems, pivotal to Valentas ...","Data Science, R, NLP, PySpark, Azure Databricks, Data engineering, LLM, Google Big Query",Data Scientist
Urgently Hiring For Data Scientist - Globant,Globant,Remote,3-5 Yrs,900000,"Technical Competency: -Play a key role to solve complex problems, pivotal to Valentas ...","Generative AI, Natural Language Processing, Statistics, Data Science, gen ai, Azure, Machine Learning, Deep Learning",Data Scientist
Data Scientist,Credit Saison,Remote,3-5 Yrs,900000,"Technical Competency: -Play a key role to solve complex problems, pivotal to Valentas ...","Computer science, Loans, Manager Quality Assurance, Underwriting, Data collection, Data mining, Business solutions, Forecasting",Data Scientist
Data Scientist,Gravity Consulting,Remote,3-5 Yrs,900000,"Technical Competency: -Play a key role to solve complex problems, pivotal to Valentas ...","Computer vision, data science, Analytical, Machine learning, Debugging, Cloud, Natural language processing, AWS",Data Scientist
Data Scientist,Farmwiseai,Remote,3-5 Yrs,900000,"Technical Competency: -Play a key role to solve complex problems, pivotal to Valentas ...","GIS, Computer science, Automation, Image processing, data science, GCP, Machine learning, Natural language processing",Data Scientist
Data Scientist,Cradlepoint,Remote,3-5 Yrs,900000,"Technical Competency: -Play a key role to solve complex problems, pivotal to Valentas ...","Computer science, Automation, HP data protector, data science, GCP, Configuration management, Analytical, Cloud",Data Scientist
Data Scientist,Statusneo,Remote,3-5 Yrs,900000,"Technical Competency: -Play a key role to solve complex problems, pivotal to Valentas ...","Training, Product engineering, Statistical analysis, Data management, Networking, Machine learning, Predictive modeling, Management",Data Scientist
Data Scientists,Virtusa,Remote,3-5 Yrs,900000,"Technical Competency: -Play a key role to solve complex problems, pivotal to Valentas ...","AI Engineering, Java, C++, Azure, Apache MXNet, LLAMA, PyTorch Vision, GPT",Data Scientist
Data Scientist (Bangalore/Chennai/ Pune/Jaipur/Hyderabad /Gurugram),Altimetrik,Remote,3-5 Yrs,900000,"Technical Competency: -Play a key role to solve complex problems, pivotal to Valentas ...","Data Science, Machine Learning, Deep Learning, Python, GenAI, Pandas, Data, Science",Data Scientist
Data Scientist,Gravity Ilabs,Remote,3-5 Yrs,900000,"Technical Competency: -Play a key role to solve complex problems, pivotal to Valentas ...","Computer vision, data science, Analytical, Machine learning, Debugging, Cloud, Natural language processing, AWS",Data Scientist
Data Scientist,Virtusa,Remote,3-5 Yrs,900000,"Technical Competency: -Play a key role to solve complex problems, pivotal to Valentas ...","Data science, Data Validation, AML, Java, CDD, KYC, Data Analysis, Data Profiling",Data Scientist
Data Scientist Sahaj Software,Sahaj Retail Limited,Remote,3-5 Yrs,900000,"Technical Competency: -Play a key role to solve complex problems, pivotal to Valentas ...","Computer science, Text mining, Computer vision, Coding, Machine learning, Information retrieval, HTML, Data mining",Data Scientist
Data Scientist,Capgemini,Pune,2-6 Yrs,550000,"Strong knowledge of regulatory environment and data analysis languages like Python, SAS...","Data Science, Data Mining, Data Modeling, Machine Learning, Python, Tensorflow, Predictive Modeling, R",Data Scientist
Data Scientist,Chuwaamerica India,Pune,2-6 Yrs,550000,"Strong knowledge of regulatory environment and data analysis languages like Python, SAS...","Tensorflow, Pytorch, Java, Azure Cloud, Python, Microsoft Azure, Cloud, Data",Data Scientist
Data Scientist,DAZN,Pune,2-6 Yrs,550000,"Strong knowledge of regulatory environment and data analysis languages like Python, SAS...","GenAI, LLama, LLM, Scikit-Learn, Python, Data",Data Scientist
Data Scientist,Trent Limited,Pune,2-6 Yrs,550000,"Strong knowledge of regulatory environment and data analysis languages like Python, SAS...","Machine Learning, Python, AI, Azure Machine Learning, SQL, Microsoft Azure, Artificial Intelligence, Machine",Data Scientist
Data Scientist,Amdocs,Pune,2-6 Yrs,550000,"Strong knowledge of regulatory environment and data analysis languages like Python, SAS...","Computer science, data science, Billing, MySQL, Machine learning, Data processing, Customer support, Data mining",Data Scientist
Data Scientist OR Data Science| IT services | immediate - 60 days,People Staffing Solution,Pune,2-6 Yrs,550000,"Strong knowledge of regulatory environment and data analysis languages like Python, SAS...","Regression, Data Science, Advanced Analytics, AWS, Python, Big Data, Neural Networks, Unsupervised Learning",Data Scientist
Data Scientist,Cloudbc Labs,Pune,2-6 Yrs,550000,"Strong knowledge of regulatory environment and data analysis languages like Python, SAS...","Data Science, Natural Language Processing, gen Ai, Deep Learning, Python, Tensorflow, Mechine Learning, Artificial Intelligence",Data Scientist
Data Scientist,Databeat,Pune,2-6 Yrs,550000,"Strong knowledge of regulatory environment and data analysis languages like Python, SAS...","Data Science, Deep Learning, Scikit-Learn, SQL, Python, Llp, R, Hadoop",Data Scientist
Data Scientist,Maxima Consulting,Pune,2-6 Yrs,550000,"Strong knowledge of regulatory environment and data analysis languages like Python, SAS...","Cloud, Python, SQL, gcp, AI, aws, azure, Microsoft Azure",Data Scientist
Data Scientist,Cloud Kinetics,Pune,2-6 Yrs,550000,"Strong knowledge of regulatory environment and data analysis languages like Python, SAS...","machine learning libraries, R, PyTorch, data analysis, scikit-learn, data manipulation, relational databases, TensorFlow",Data Scientist
Data Scientist,Paypal,Pune,2-6 Yrs,550000,"Strong knowledge of regulatory environment and data analysis languages like Python, SAS...","Statistical programming, Data analysis, Payment processing, Analytical, Continuous improvement, Business solutions, Teradata, Analytics",Data Scientist
Data Scientist,Winzo,Pune,2-6 Yrs,550000,"Strong knowledge of regulatory environment and data analysis languages like Python, SAS...","Computer vision, Usage, Image processing, Analytical, Network analysis, big data, Gaming, Fraud detection",Data Scientist
Data Scientist - 3,Navi Technologies,Pune,2-6 Yrs,550000,"Strong knowledge of regulatory environment and data analysis languages like Python, SAS...","Electrical engineering, Loans, data science, financial products, Mutual funds, Machine learning, Programming, Business solutions",Data Scientist
Data Scientist,Leading Client,Pune,2-6 Yrs,550000,"Strong knowledge of regulatory environment and data analysis languages like Python, SAS...","data science, PyTorch, Scala, Hadoop, data visualization, Spark, machine learning, Python",Data Scientist
"Data Scientist, NLP + GenAI",Tiger Analytics,Pune,2-6 Yrs,550000,"Strong knowledge of regulatory environment and data analysis languages like Python, SAS...","Generative AI, NLP, NLP frameworks, LLMs, Data Scientist, AI Innovation, GPT, NLP Expertise",Data Scientist
Data Scientist - Generative AI & LLM (Python),Netcom Learning,Pune,2-6 Yrs,550000,"Strong knowledge of regulatory environment and data analysis languages like Python, SAS...","Data analysis, GIT, Image processing, Machine learning, Data structures, Workflow, Visual Studio, Open source",Data Scientist
Data Scientist,Leading Client,Pune,2-6 Yrs,550000,"Strong knowledge of regulatory environment and data analysis languages like Python, SAS...","Data Science, data management, data analysis, Data Scientist, data research, Analysis, Management, Data",Data Scientist
Data Scientist,Ltimindtree,Pune,2-6 Yrs,550000,"Strong knowledge of regulatory environment and data analysis languages like Python, SAS...","Automation, data science, Data modeling, Project management, Data collection, Engineering Manager, Regression analysis, Business intelligence",Data Scientist
Data Scientist - Recommender S/ms,Pragmaticplay India,Pune,2-6 Yrs,550000,"Strong knowledge of regulatory environment and data analysis languages like Python, SAS...","Training, Data validation, Google Analytics, Web services, Analytical, Gaming, Monitoring, Python",Data Scientist
Data Scientist,Astria Digital,Pune,2-6 Yrs,550000,"Strong knowledge of regulatory environment and data analysis languages like Python, SAS...","Training, deep learning, Coding, Cloud Services, Machine learning, Cloud, content generation, Natural language processing",Data Scientist
Data Scientist,Sunbrilo Technology,Pune,6-9 Yrs,null,Preferred Qualifications: . Preferred candidate profile : Immediate joiners . 8 years o...,"Natural Language Processing, Machine Learning, Deep Learning, Python, Processing, Languages, Process, Machine",Data Scientist
Data Scientist,IntraEdge Technology,Pune,6-9 Yrs,null,Preferred Qualifications: . Preferred candidate profile : Immediate joiners . 8 years o...,"GenAI, Python, MLOps, Artificial Intelligence, LLM, Machine Learning, Machine, Data",Data Scientist
Data Scientist,Everestek Technosoft Solutions,Pune,6-9 Yrs,null,Preferred Qualifications: . Preferred candidate profile : Immediate joiners . 8 years o...,"Gen AI, Natural Language Processing, AWS, python API Development, DevOps-AWS services, Programming, SQL Database, senior Data Scientist",Data Scientist
Data Scientist,Promantus India,Pune,6-9 Yrs,null,Preferred Qualifications: . Preferred candidate profile : Immediate joiners . 8 years o...,"Machine Learning, Gen AI, Natural Language Processing, LLM, Mlops, Deep Learning, Python, Languages",Data Scientist
Data Scientist,Pelatro,Pune,6-9 Yrs,null,Preferred Qualifications: . Preferred candidate profile : Immediate joiners . 8 years o...,"SQL, Python, Pandas, Numpy, Scikit-Learn, Deep Learning, Data",Data Scientist
Data Scientist - GenAI/NLP,R Systems International,Pune,6-9 Yrs,null,Preferred Qualifications: . Preferred candidate profile : Immediate joiners . 8 years o...,"GenAI, NLP, Predictive Analytics, Data, Natural language processing, Predictive, Analytics",Data Scientist
Data Scientist,Virtusa,Pune,6-9 Yrs,null,Preferred Qualifications: . Preferred candidate profile : Immediate joiners . 8 years o...,"machine learning, Java, algorithms, C++, Apache MXNet, LLMs, deep learning, NLTK",Data Scientist
Data Scientist - GenAI,EXL,Pune,6-9 Yrs,null,Preferred Qualifications: . Preferred candidate profile : Immediate joiners . 8 years o...,"GenAI, Model, Python, Modeling, Data",Data Scientist
Data Scientist,UPS Supply Chain Solutions (UPS SCS),Pune,6-9 Yrs,null,Preferred Qualifications: . Preferred candidate profile : Immediate joiners . 8 years o...,"Exploratory data analysis, Java, advanced analytics, C++, data management, machine learning, data engineering, SQL",Data Scientist
Data Scientist / ML Engineer,Rarr Technologies,Pune,6-9 Yrs,null,Preferred Qualifications: . Preferred candidate profile : Immediate joiners . 8 years o...,"Computer science, Automation, Version control, GIT, Analytical, Machine learning, Data collection, Distribution system",Data Scientist
Data Scientist,Phonepe,Pune,6-9 Yrs,null,Preferred Qualifications: . Preferred candidate profile : Immediate joiners . 8 years o...,"Computer science, Computer vision, Version control, GIT, Analytical, Machine learning, Data processing, Financial services",Data Scientist
Data Scientist,Leading Client,Pune,6-9 Yrs,null,Preferred Qualifications: . Preferred candidate profile : Immediate joiners . 8 years o...,"Data Science, Gen AI, R, Machine learning, Data Analytics, Linear Progression, Python, Artificial Intelligence",Data Scientist
Data Scientist,Photon,Pune,6-9 Yrs,null,Preferred Qualifications: . Preferred candidate profile : Immediate joiners . 8 years o...,"Automation, orchestration, Coding, Analytical, Machine learning, SCALA, Infrastructure, Mentor",Data Scientist
AI and Data Scientist Engineer,Coreehs,Pune,6-9 Yrs,null,Preferred Qualifications: . Preferred candidate profile : Immediate joiners . 8 years o...,"Hadoop, Tableau, AI/ML Tools, Spark, Python, Java, Matplotlib, Azure",Data Scientist
Data Analyst / Data Scientist,Fundfina,Pune,6-9 Yrs,null,Preferred Qualifications: . Preferred candidate profile : Immediate joiners . 8 years o...,"Product management, Data management, Analytical, Strategic planning, Data collection, Cash flow, Data Analyst, Risk management",Data Analyst
Exp. Data scientist / Data Analyst / AI Expert,Innovadors Lab,Pune,6-9 Yrs,null,Preferred Qualifications: . Preferred candidate profile : Immediate joiners . 8 years o...,"Analytical skills, Artificial Intelligence, Machine learning, Data Analyst, Open source, Python, Source, Analytical",Data Analyst
Data Scientist,Qween,Pune,6-9 Yrs,null,Preferred Qualifications: . Preferred candidate profile : Immediate joiners . 8 years o...,"Data Science, Spark sql, Machine Learning Algorithms, Microsoft Azure, MLflow, Python programming, Data Modeling, Statistical Data Analysis",Data Scientist
Data Scientist,Genpact,Pune,6-9 Yrs,null,Preferred Qualifications: . Preferred candidate profile : Immediate joiners . 8 years o...,"Statistical Modeling, Machine Learning, Python, regression, Linear Regression, ML, Modeling, Statistics",Data Scientist
